Name,MaxParticleCount,MinLife,MaxLife,ParticleMinInterval,ParticleMaxInterval,ParticleMinLife,ParticleMaxLife,ParticleMinAngle,ParticleMaxAngle,ParticleAngleRelativeToParent,ParticleRandomAngle,ParticleMinRadius,ParticleMaxRadius,ParticleMinSpeed,ParticleMaxSpeed,ParticleStartZ,ParticleMinVelocityZ,ParticleMaxVelocityZ,ParticleGravity,ParticleMinTailLength,ParticleMaxTailLength,ParticleResource,ParticleExportName,RotateToDirection,LoopParticleClip,StartScale,EndScale,FadeOutDuration,Inertia,EnemyVersion
string,int,int,int,int,int,int,int,int,int,boolean,boolean,int,int,int,int,int,int,int,int,int,int,string,string,boolean,boolean,int,int,int,int,string
music_note_particle_ulti_red,10,400,1000,,200,400,1000,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_red,,,150,50,100,20,
music_note_particle_ulti,10,400,1000,,200,400,1000,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note,,,150,50,100,20,music_note_particle_ulti_red
music_note_particle_red,3,100,200,,200,200,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_red,,,100,50,500,20,
music_note_particle,3,100,200,,200,200,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,music_note_1,,,80,10,500,20,music_note_particle_red
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,music_note_2,,,,,,,
magic_native_particle_red,20,150,200,,1000,1000,1200,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,magic_particle_red,,true,100,1,500,20,
magic_native_particle,20,150,200,,1000,1000,1200,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,magic_particle,,,100,1,500,20,magic_native_particle_red
heal_particle,3,600,800,,200,500,600,,360,,true,3,5,20,80,200,,50,200,,,sc/effects.sc,Heal_particle,,,100,1,20,100,
sware_particle,3,800,800,,10,600,800,-360,90,,true,3,7,20,100,100,1,50,35,,,sc/effects.sc,sware_01,,,180,50,500,40,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,sware_04,,,,,,,
slowed_particle,2,800,800,3,20,300,1200,,360,,true,3,7,0,0,100,,0,-100,,,sc/effects.sc,slow_particle,,,100,100,500,20,
crippled_particle,2,800,800,3,20,300,1200,,360,,true,3,7,0,0,100,,0,-100,,,sc/effects.sc,cripple_particle,,,100,100,500,20,
boss_particle,10,500,500,,20,500,1000,,360,,true,1,7,20,30,100,,200,-100,,,sc/effects.sc,boss_bubble_1,,,70,20,500,60,
poisoned_crippled_particle,3,800,800,,10,600,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,poison_skull,,true,100,50,500,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,poison_bone,,,,,,,
poisoned_particle,3,800,800,,10,600,800,,360,,true,3,7,20,100,100,,50,35,,,sc/effects.sc,poison_skull,,,100,50,500,20,
burning_particle_lucha,50,100,300,1,0,1000,4000,,360,,true,2,20,,,0,,0,0,,,sc/effects.sc,fire,,true,50,1,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
burning_particle_brock_blue,20,100,200,1,0,2500,3000,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire_blue_1,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_3,,,,,,,
burning_particle_brock,20,100,200,1,0,2500,3000,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
burning_particle_lucha_super,100,100,200,8,10,200,300,,360,,true,-3,3,20,2,10,,2,10,,,sc/effects.sc,fire,,true,50,100,200,20,
,,,,,,,,,,,,,,,,,,,,,,,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,fire_3,,,,,,,
burning_particle,3,100,200,,10,600,800,,360,,true,-3,3,20,2,10,,2,10,,,sc/effects.sc,fire,,true,100,10,500,20,
,,,,,,,,,,,,,,,,,,,,,,,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,fire_3,,,,,,,
sparks,7,400,700,,10,1000,1200,,360,,true,0,4,20,600,,,50,400,,,sc/effects.sc,gen_spark_anim,,,70,1,300,200,
,,,,,,,,,,,,,,,,,,,,,,,gen_spark_anim_2,,,,,,,
gen_round_particle,13,800,800,,10,600,800,,360,,true,0,4,20,100,,,50,35,,,sc/effects.sc,gen_particle_blue,,,55,80,500,20,
gen_beam_particle,1,800,800,,10,600,800,,360,,true,-4,4,15,300,,,50,35,,,sc/effects.sc,gen_particle_blue,,,55,80,500,20,
gen_hit,1,250,300,1,1,200,300,-360,360,,,0,0,0,0,30,1,1,,,,sc/effects.sc,gen_hitlines_particle,,,,,100,,
gen_trail_particle_enemy,15,30,40,30,40,600,1000,0,360,true,true,0,0,1,12,,,0,35,500,500,sc/effects.sc,gen_particle_red,true,,60,10,500,0,
black_hole_projectile_afterexplosion,20,50,50,2,3,1000,2500,0,360,true,true,-10,25,1,12,,-5,5,35,500,500,sc/effects.sc,sparkle_dark,true,,100,10,500,0,sparkle_dark
black_hole_projectile_ghost,20,100,100,50,50,400,2000,0,360,true,true,-2,2,1,12,,-5,5,35,500,500,sc/effects.sc,sparkle_dark,true,,100,10,500,0,sparkle_dark
sparkle_trail_particle_black_minion,10,10,30,50,50,400,1000,0,360,true,true,-4,4,1,12,,-5,5,35,500,500,sc/effects.sc,sparkle_dark,true,,70,1,500,0,sparkle_dark
sparkle_trail_particle_black,20,100,100,50,50,400,1000,0,360,true,true,-2,2,1,12,,-5,5,35,500,500,sc/effects.sc,sparkle_dark,true,,100,10,500,0,sparkle_dark
sparkle_trail_particle_enemy,10,100,100,50,50,200,300,0,360,true,true,-2,2,1,12,,-3,3,35,500,500,sc/effects.sc,sparkle_01_red,true,,100,10,300,0,
Poco_Trail_special_particle,10,1000,1000,10,300,100,500,0,360,true,true,-4,4,1,12,,-3,3,35,500,500,sc/effects.sc,Heal_particle,true,,100,1,100,0,
sparkle_trail_particle,10,100,100,50,50,200,300,0,360,true,true,-2,2,1,12,,-3,3,35,500,500,sc/effects.sc,sparkle_01,true,,100,10,300,0,sparkle_trail_particle_enemy
poison_trail_particle,5,30,40,50,50,200,300,0,360,true,true,-1,1,1,12,,-3,3,35,500,500,sc/effects.sc,poison_skull,true,,100,50,300,0,
gen_trail_particle,15,30,10,30,40,200,500,0,360,true,true,-1,1,1,12,,-3,3,35,500,500,sc/effects.sc,dynamike_spark,true,,40,1,1000,0,
gen_trail_small_particle_enemy,3,30,40,30,40,600,1000,0,0,true,true,0,0,1,12,,0,0,0,500,500,sc/effects.sc,gen_particle_red,true,,45,3,500,0,
bb_trail_ulti,100,,,10,10,100,1000,0,0,true,true,-2,1,1,2,,0,0,0,600,800,sc/effects.sc,gen_particle_yellow,true,,200,10,500,0,
bb_trail_ulti_smoke,100,,,10,10,100,1000,90,0,,true,-2,1,1,2,,0,0,0,600,800,sc/effects.sc,fire_2,true,true,200,1,500,0,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_1,,,,,,,
bb_trail_small_particle,100,,,70,70,1000,1000,0,0,true,true,0,0,0,0,,0,0,0,600,800,sc/effects.sc,gen_particle_blue,true,,150,40,200,0,
shotgun_trail_small_particle,20,800,1200,1,30,400,600,0,0,true,true,0,0,1,12,,0,0,0,300,400,sc/effects.sc,shotgun_trail_particle,true,,20,1,500,0,gen_trail_particle_enemy
gen_trail_small_particle,15,800,1200,1,30,400,600,0,0,true,true,0,0,1,12,,0,0,0,500,500,sc/effects.sc,gen_particle_blue,true,,100,3,500,0,gen_trail_particle_enemy
gen_trail_smoke_darker_enemy,50,10,100,1,10,200,200,-360,0,true,true,-1,2,1,12,,0,0,0,300,500,sc/effects.sc,gen_smoke_small_particle_darker_solo_red,,,120,1,100,0,
gen_trail_small_particle_smoke_darker,50,10,100,1,10,200,200,-360,0,true,true,-1,2,1,12,,0,0,0,300,500,sc/effects.sc,gen_smoke_small_particle_darker_solo,,,120,1,100,0,gen_trail_smoke_darker_enemy
gen_trail_small_particle_smoke,15,1000,2000,40,50,400,800,0,0,true,true,0,0,1,12,,0,0,0,500,500,sc/effects.sc,smokepuff_bigger,,,70,1,500,0,gen_trail_particle_enemy
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,smokepuff_bigger_2,,,,,,,
ground_explosion_small,1,,,,,2000,2000,-360,360,,,0,0,0,0,,,,,,,sc/effects.sc,ground_hit,true,,50,40,0,,
ground_explosion,1,,,,,2000,2000,-360,360,,,0,0,0,0,,,,,,,sc/effects.sc,ground_hit,true,,100,80,0,,
shotgun_hit,1,100,200,2,3,100,150,-360,360,true,true,0,0,65,100,,,,,,,sc/effects.sc,hit_star,true,true,10,110,10,,
no_hit_effect_red,5,200,300,1,2,200,300,-360,360,true,true,1,1,0,32,,,,,,,sc/effects.sc,gen_hitfx_dot_red,true,,150,25,80,,
no_hit_effect,5,200,300,1,2,200,300,-360,360,true,true,1,1,0,32,,,,,,,sc/effects.sc,gen_hitfx_dot_blue,true,,150,25,80,,no_hit_effect_red
gen_hit_flash,1,10,40,1,1,30,60,-360,360,true,true,-3,3,0,32,,,,,,,sc/effects.sc,hit_star,true,true,100,25,0,,
gen_hitfx_line_emitter,8,100,200,2,3,100,150,-360,360,true,true,0,0,65,100,,,,,,,sc/effects.sc,gen_hitfx_particle,true,true,50,110,50,,
gen_hitfx_dot_emitter,5,200,300,1,2,200,300,-360,360,true,true,1,1,0,32,,,,,,,sc/effects.sc,gen_hitfx_dot,true,,100,25,80,,
gen_beam_trail_particle_enemy,10,30,40,30,40,300,800,0,360,true,true,0,0,2,12,,,0,,1000,1000,sc/effects.sc,gen_particle_red,true,,45,1,1000,0,
gen_beam_trail_particle,10,30,40,30,40,300,800,0,360,true,true,0,0,2,12,,,0,,1000,1000,sc/effects.sc,gen_particle_blue,true,,45,1,1000,0,gen_beam_trail_particle_enemy
plasma_trail_emitter_red,20,100,200,12,24,300,800,0,360,true,true,1,2,4,6,,0,0,15,,,sc/effects.sc,tendril_particle_red,true,,70,5,1000,0,
bat_trail_emitter_red,10,900,900,10,20,400,500,0,360,true,true,1,2,2,6,,0,0,15,,,sc/effects.sc,bat_flight_01_red,true,true,70,40,100,0,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,bat_flight_02_red,true,,,,,,
bat_trail_emitter,10,900,900,10,20,400,500,0,360,true,true,1,2,2,6,,0,0,15,,,sc/effects.sc,bat_flight_01,true,true,70,40,100,0,bat_trail_emitter_red
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,bat_flight_02,true,,,,,,
sniper_trail_emitter_special,10,10,30,50,50,400,1000,0,360,true,true,-4,4,1,12,,-5,5,35,500,500,sc/effects.sc,sparkle,true,,70,1,500,0,sparkle_dark
sniper_trail_emitter,20,400,400,30,30,600,750,0,0,true,true,1,2,4,6,,0,0,15,,,sc/effects.sc,gradient_ring,true,,70,1,500,0,
plasma_trail_emitter,20,100,200,12,24,300,800,0,360,true,true,1,2,4,6,,0,0,15,,,sc/effects.sc,tendril_particle_blue,true,,70,5,1000,0,plasma_trail_emitter_red
magic_spark_exlposion,50,200,700,12,24,300,1000,0,360,true,true,2,5,4,100,,0,0,200,,,sc/effects.sc,magic_particle,true,,150,20,200,0,plasma_trail_emitter_red
magic_spark_trail_emitter,5,100,200,12,24,300,400,0,360,true,true,1,3,4,6,,0,0,15,,,sc/effects.sc,magic_particle,true,,150,20,200,0,plasma_trail_emitter_red
electricity_spark_trail_emitter_red,5,100,200,12,24,300,400,0,360,true,true,1,3,4,6,,0,0,15,,,sc/effects.sc,spark_4_red,true,true,150,20,200,0,
electricity_spark_trail_emitter,5,100,200,12,24,300,400,0,360,true,true,1,3,4,6,,0,0,15,,,sc/effects.sc,spark_4,true,,150,20,200,0,electricity_spark_trail_emitter_red
blob_fx_particles,10,100,200,100,130,300,1200,265,280,,,-2,2,80,120,50,,,200,,,sc/effects.sc,gen_turbulence_dot_yellow,,,50,15,100,450,
,,,,,,,,,,,,,,,,,,,,,,,gen_turbulence_dot2_yellow,,,,,,,
health_fx_particles,5,100,200,15,33,300,1200,265,265,true,true,-4,4,80,120,50,,,200,,,sc/effects.sc,gen_spark,,,30,1,100,450,
gen_explosion_ring_emitter,1,100,200,1,2,1000,2000,0,0,,,0,0,1,1,0,0,0,0,,,sc/effects.sc,gen_explosion_ring1,false,false,100,100,300,,
gen_explosion_lines_emitter,2,100,200,1,2,200,300,0,0,,,0,0,1,1,0,0,0,0,,,sc/effects.sc,gen_explosion_lines1,false,false,50,200,33,,
gen_explosion_dust1_emitter,1,3000,3000,3,5,5000,10000,0,360,,,-1,1,-1,1,0,0,0,10,,,sc/effects.sc,gen_explosion_dust1,false,true,50,150,2000,,
gen_explosion_dust2_emitter,1,3000,3000,3,5,5000,10000,0,360,,,-1,1,-1,1,0,0,0,10,,,sc/effects.sc,gen_explosion_dust2,false,true,50,150,2000,,
spark_fx_emitter,3,200,200,1,1,100,200,,360,,true,-2,,400,500,,80,100,,200,400,sc/effects.sc,Smallspark,,true,50,30,,,
Plasma_fx_emitter,9,200,300,,,200,300,,360,,true,,,400,500,,80,100,,200,400,sc/effects.sc,SparkleBlue,,,,,,,
Dust_emitter_lingering,50,50,100,3,5,500,2000,-360,360,true,true,-10,20,5,12,10,1,2,10,,,sc/effects.sc,BlackSmokeLingering,false,,300,1,400,100,
Dust_emitter,4,50,100,3,5,1200,1200,-360,360,true,true,-4,4,5,12,10,1,2,10,,,sc/effects.sc,dust_particle1,false,,80,10,400,100,
,,,,,,,,,,,,,,,,12,,,,,,,dust_particle2,,,,,,,
,,,,,,,,,,,,,,,,15,,,,,,,dust_particle3,,,,,,,
Toxic_emitter_red,20,6000,6000,50,1000,2000,3200,-360,360,true,true,-15,15,5,10,,10,20,-30,0,0,sc/effects.sc,toxic_particle1_red,true,,20,230,2000,,
Toxic_emitter,20,6000,6000,50,1000,2000,3200,-360,360,true,true,-15,15,5,10,,10,20,-30,0,0,sc/effects.sc,toxic_particle1,true,,20,230,2000,,Toxic_emitter_red
explosion_streaks_emitter,4,200,300,,,400,600,80,100,,false,-1,1,0,0,,80,100,,0,0,sc/effects.sc,gen_explosion_s1,,,100,10,400,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_s2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_s3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_dark_streak1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_s1,,,,,,,
trickshot_hit_ring_emitter,1,,,,,300,400,0,360,,,0,0,1,2,0,,,,,,sc/effects.sc,ring_trail_particle,true,true,1,150,200,,Ring_trail_emitter_red
poison_fog_skull_particle,1,0,0,0,0,600,1000,,360,,true,3,7,,,100,,50,35,,,sc/effects.sc,poison_skull,,,20,200,500,20,
poison_fog_emitter,1,0,0,0,0,3000,4000,-140,140,true,true,-3,3,300,1000,65,20,20,0,,,sc/effects.sc,Poison_smoke,false,true,100,400,300,8000,
Hot_dust_emitter,2,100,200,,,150,250,,360,,true,,,0,0,10,0,0,,0,0,sc/effects.sc,hot_dust_particle,,true,110,33,100,,
heal_area_particles_enemy,10,100,200,10,20,800,1000,0,360,,,10,27,10,30,5,10,100,300,0,0,sc/effects.sc,Heal_particle_red,true,true,20,80,300,,
heal_area_particles,10,100,200,10,20,800,1000,0,360,,,10,27,10,30,5,10,100,300,0,0,sc/effects.sc,Heal_particle,true,true,20,80,300,,heal_area_particles_enemy
Point_collect_emitter,33,100,200,10,20,300,450,0,360,,true,-1,1,0,1,20,0,0,0,,,sc/effects.sc,point_collect_particle1,true,true,70,1,500,,
Ring_trail_emitter_red,3,30,40,30,40,400,500,0,360,,,0,0,1,2,0,,,,,,sc/effects.sc,ring_trail_particle_red,true,true,1,100,300,,
electricity_ring_red,3,30,40,30,40,400,500,0,360,,,0,0,1,2,0,,,,,,sc/effects.sc,electricity_ring_red,true,true,1,100,300,,
electricity_ring_trail_emitter,3,30,40,30,40,400,500,0,360,,,0,0,1,2,0,,,,,,sc/effects.sc,electricity_ring,true,true,1,100,300,,electricity_ring_red
Ring_trail_emitter,3,30,40,30,40,400,500,0,360,,,0,0,1,2,0,,,,,,sc/effects.sc,ring_trail_particle,true,true,1,100,300,,Ring_trail_emitter_red
Health_collect_emitter,33,100,200,10,20,300,450,0,360,,true,-1,1,0,1,20,0,0,0,,,sc/effects.sc,health_collect_particle1,true,true,70,1,500,,
explosion_arcs_emitter,3,200,300,,,200,300,80,100,,false,-1,1,0,0,,80,100,,0,0,sc/effects.sc,gen_explosion_arc1,,true,100,70,400,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_arc2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_explosion_arc2,,,,,,,
gen_death_particle,13,100,200,3,4,800,1200,220,320,,true,-1,3,10,15,65,30,65,-30,,,sc/effects.sc,gen_particle_black,,,200,20,100,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_particle,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_particle_black,,,,,,,
barkeep_smoke_red,70,1000,1000,20,20,700,2000,-140,140,true,true,-10,20,200,300,40,20,200,20,,,sc/effects.sc,barkeep_smoke_1_red,false,true,2,500,300,8000,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,barkeep_smoke_2_red,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,barkeep_smoke_3_red,,,,,,,
