Name,MaxParticleCount,MinLife,MaxLife,ParticleMinInterval,ParticleMaxInterval,ParticleMinLife,ParticleMaxLife,ParticleMinAngle,ParticleMaxAngle,ParticleAngleRelativeToParent,ParticleRandomAngle,ParticleMinRadius,ParticleMaxRadius,ParticleMinSpeed,ParticleMaxSpeed,ParticleStartZ,ParticleMinVelocityZ,ParticleMaxVelocityZ,ParticleGravity,ParticleMinTailLength,ParticleMaxTailLength,ParticleResource,ParticleExportName,RotateToDirection,LoopParticleClip,StartScale,EndScale,FadeOutDuration,Inertia,EnemyVersion
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,plank_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splinter_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splinter_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,plank_03,,,,,,,
fire_after_explosion,3,,,,,200,5000,90,360,,true,-10,15,,,,,,,0,0,sc/effects.sc,fire_2,,true,50,10,200,0,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_1,,,,,,,
planks,10,,,,,2000,7000,90,360,,true,-5,10,20,300,0,600,1000,-7000,0,0,sc/effects.sc,plank_01,,true,150,120,200,500,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,plank_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splinter_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splinter_03,,,,,,,
Rock_explo_debris2_mine,5,,,,,200,1000,0,360,,true,-3,3,20,100,0,1000,3000,-6000,0,0,sc/effects.sc,stone_1_mine,,true,300,100,200,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_2_mine,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_3_mine,,,,,,,
Rock_explo_debris2,5,,,,,200,1000,0,360,,true,-3,3,20,100,0,1000,3000,-6000,0,0,sc/effects.sc,stone_1,,true,300,100,200,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_3,,,,,,,
Pix_emitter_red,50,1200,1200,10,20,900,1300,0,360,,,-5,5,2,3,140,-40,-100,-400,,,sc/effects.sc,red_pix,,true,100,20,200,,
Pix_emitter,50,1200,1200,10,20,900,1300,0,360,,,-5,5,2,3,140,-40,-100,-400,,,sc/effects.sc,blue_pix,,true,100,20,200,,Pix_emitter_red
Pix_emitter_up,50,1200,1200,10,20,900,1300,0,360,,,-5,5,2,3,0,40,120,200,,,sc/effects.sc,blue_pix,,true,100,20,200,,Pix_emitter_red
Ground_glow_emitter_red,1,100,200,3,4,2000,2000,0,360,,,0,0,0,0,0,0,0,0,0,0,sc/effects.sc,red_buildup_ground,,,450,350,200,,
Ground_glow_emitter,1,100,200,3,4,2000,2000,0,360,,,0,0,0,0,0,0,0,0,0,0,sc/effects.sc,buildup_ground,,,450,350,200,,Ground_glow_emitter_red
gen_bouncefx_dot_blue_emitter,3,100,150,1,2,200,250,-360,360,true,true,1,1,0,10,,,,,,,sc/effects.sc,gen_hitfx_dot_blue,true,,80,2,140,,
gen_bouncefx_dot_emitter,3,100,150,1,2,200,250,-360,360,true,true,0,0,0,7,,,,,,,sc/effects.sc,gen_hitfx_dot,true,,80,2,140,,
rocket_trail_emitter_red,25,8500,8500,40,40,1000,1200,0,0,true,true,0,0,1,12,,0,0,0,,,sc/effects.sc,rocket_trail_particle_red,true,,100,50,500,0,
rocket_trail_spark_emitter_red,20,8500,8500,50,50,500,750,-10,10,true,,-1,1,5,25,,0,0,0,,,sc/effects.sc,gen_hitfx_dot,true,,33,5,50,0,
rocket_trail_emitter,25,8500,8500,40,40,1000,1200,0,0,true,true,0,0,1,12,,0,0,0,,,sc/effects.sc,rocket_trail_particle,true,,100,50,500,0,rocket_trail_emitter_red
rocket_trail_smoke_emitter_red,33,0,0,30,30,5000,10000,-360,360,true,true,,,1,12,,0,0,0,,,sc/effects.sc,BlackSmoke_rocket_red,true,,70,1,800,0,rocket_trail_smoke_emitter_red
lucha_smoke_emitter_red,100,0,0,30,30,2000,3000,-360,360,true,true,-1,1,1,12,,0,0,0,,,sc/effects.sc,lucha_smoke_red,true,,150,1,800,0,
lucha_smoke_emitter,100,0,0,30,30,2000,3000,-360,360,true,true,-1,1,1,12,,0,0,0,,,sc/effects.sc,lucha_smoke,true,,150,1,800,0,lucha_smoke_emitter_red
shotgun_trail_smoke_emitter,100,0,0,30,30,5000,10000,-360,360,true,true,-1,1,1,12,,0,0,0,,,sc/effects.sc,BlackSmoke_rocket,true,,100,50,800,0,rocket_trail_smoke_emitter_red
lucha_smoke_emitter_super,33,0,0,30,30,5000,10000,-360,360,true,true,-2,5,1,12,,0,0,0,,,sc/effects.sc,BlackSmoke_lucha,true,,150,1,800,0,
rocket_trail_smoke_emitter,33,0,0,30,30,5000,10000,-360,360,true,true,,,1,12,,0,0,0,,,sc/effects.sc,BlackSmoke_rocket,true,,70,1,800,0,rocket_trail_smoke_emitter_red
rocket_trail_spark_emitter,20,8500,8500,50,50,500,750,-10,10,true,,-1,1,5,25,,0,0,0,,,sc/effects.sc,gen_hitfx_dot,true,,33,5,50,0,rocket_trail_spark_emitter_red
gen_small_smoke_emitter_red,5,180,240,10,20,1200,2400,0,0,true,true,-3,3,20,30,70,-3,-30,20,,,sc/effects.sc,gen_smoke_small_particle_red,,,200,20,800,10,
Gen_small_smoke,5,700,800,5,7,1200,2400,-5,45,true,true,-3,3,1,1,0,-3,0,100,,,sc/effects.sc,smokepuff_walk,,,50,100,800,10,
dust_puff,5,5,240,5,7,1200,2400,-5,45,true,true,-2,2,1,1,0,-3,0,100,,,sc/effects.sc,smokepuff_walk,,,200,50,800,10,
walking_smoke,1,5,240,5,7,1200,2400,-5,45,true,true,-1,1,1,1,0,-3,0,100,,,sc/effects.sc,smokepuff_walk,,,50,100,800,10,
gen_small_smoke_emitter_smaller,5,5,240,5,7,1000,1700,-5,45,true,true,-3,3,40,50,70,-3,-30,20,,,sc/effects.sc,gen_smoke_small_particle,,,50,10,800,10,
gen_small_smoke_emitter_darker,1,2,240,5,7,1000,1000,-5,45,true,true,-3,3,40,50,70,-3,-30,20,,,sc/effects.sc,gen_smoke_small_particle_darker,,,120,20,800,10,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_smoke_small_particle_darker_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,gen_smoke_small_particle_darker_3,,,,,,,
gen_small_smoke_emitter,5,5,240,5,7,1000,1700,-5,45,true,true,-3,3,40,50,70,-3,-30,20,,,sc/effects.sc,gen_smoke_small_particle,,,100,20,800,10,
shooting_spark_emitter_red,20,120,180,10,20,500,750,-5,45,true,,0,0,100,120,70,0,0,0,,,sc/effects.sc,gen_hitfx_dot,true,,33,1,100,0,
muzzle_flash_white_tiny,3,3,1,20,100,100,100,-5,45,true,,0,0,0,0,70,0,0,0,,,sc/effects.sc,muzzle_flash_white,true,true,100,200,0,0,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,muzzle_flash_white_2,,,,,,,
muzzle_flash_smaller,3,3,1,20,100,100,100,-5,45,true,,0,0,0,0,70,0,0,0,,,sc/effects.sc,muzzle_flash,true,true,100,200,0,0,
,3,3,1,20,100,100,100,-5,45,true,,0,0,0,0,70,0,0,0,,,sc/effects.sc,muzzle_flash_2,true,true,150,300,0,0,
muzzle_flash,3,3,1,20,100,100,100,-5,45,true,,0,0,0,0,70,0,0,0,,,sc/effects.sc,muzzle_flash,true,true,150,300,0,0,
,3,3,1,20,100,100,100,-5,45,true,,0,0,0,0,70,0,0,0,,,sc/effects.sc,muzzle_flash_2,true,true,150,300,0,0,
shooting_spark_emitter,7,10,180,10,,300,750,-5,45,true,,0,0,100,120,70,0,0,0,,,sc/effects.sc,gen_spark,true,,50,1,100,0,
rocket_spark_emitter,1,,,20,,50,200,-356,,true,true,,2,100,200,0,200,300,0,,,sc/effects.sc,gen_spark,true,,30,1,200,0,
rocket_attack_smoke_emitter_red,5,180,240,10,20,1200,2400,0,0,true,true,-4,4,2,5,66,-100,-200,10,,,sc/effects.sc,gen_smoke_small_particle_red,,,60,300,600,20,
rocket_attack_smoke_emitter,5,180,240,10,20,1200,2400,0,0,true,true,-4,4,2,5,66,-100,-200,10,,,sc/effects.sc,gen_smoke_small_particle,,,60,300,600,20,rocket_attack_smoke_emitter_red
rocket_shoot_spark_emitter_red,8,120,180,10,20,500,750,-5,45,true,,-2,2,3,5,66,-400,-600,-200,10,30,sc/effects.sc,gen_hitfx_dot,true,,70,1,200,0,
rocket_shoot_spark_emitter,8,120,180,10,20,500,750,-5,45,true,,-2,2,3,5,66,-400,-600,-200,10,30,sc/effects.sc,gen_hitfx_dot_blue,true,,70,1,200,0,rocket_shoot_spark_emitter_red
laser_muzzle_emitter_red,2,100,200,2,3,200,300,0,5,true,true,0,0,0,0,75,0,0,0,,,sc/effects.sc,gen_muzzleline_particle_red,true,,10,200,100,,
laser_muzzle_emitter,2,100,200,2,3,200,300,0,5,true,true,0,0,0,0,75,0,0,0,,,sc/effects.sc,gen_muzzleline_particle,true,,10,200,100,,laser_muzzle_emitter_red
charge_fx_emitter,30,500,1200,50,100,1200,2400,0,,true,true,-1,1,10,20,50,0,0,-30,40,500,sc/effects.sc,gen_smoke_small_particle,true,,100,300,300,,
turret_muzzle_emitter_red,2,100,200,2,3,200,300,0,5,true,true,0,0,0,0,20,0,0,0,,,sc/effects.sc,gen_muzzleline_particle_red,true,,10,200,100,,
turret_muzzle_emitter,2,100,200,2,3,200,300,0,5,true,true,0,0,0,0,20,0,0,0,,,sc/effects.sc,gen_muzzleline_particle,true,,10,200,100,,turret_muzzle_emitter_red
splat_emitter,4,100,200,10,30,600,800,0,360,true,true,-1,1,2,3,100,80,120,20,,,sc/effects.sc,splat,,,20,50,600,,
ground_splat_emitter_red,10,1,1,0,0,10000,10000,0,360,true,true,-5,5,1,2,0,0,0,0,0,0,sc/effects.sc,splat_1_red,,,50,20,200,10,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splat_2_red,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splat_3_red,,,,,,,
ground_splat_small_red,10,1,1,0,0,8000,9000,0,360,true,true,-15,15,1,2,0,0,0,0,0,0,sc/effects.sc,splat_3_red,,,40,1,200,10,
ground_splat_small,10,1,1,0,0,8000,9000,0,360,true,true,-15,15,1,2,0,0,0,0,0,0,sc/effects.sc,splat_3,,,40,1,200,10,ground_splat_small_red
ground_splat_emitter,10,1,1,0,0,10000,10000,0,360,true,true,-5,5,1,2,0,0,0,0,0,0,sc/effects.sc,splat_1,,,50,20,200,10,ground_splat_emitter_red
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splat_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,splat_3,,,,,,,
barkeep_fire,70,1,1,0,0,100,5000,0,360,true,true,-15,15,1,2,0,0,0,0,0,0,sc/effects.sc,fire,,true,80,30,200,300,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
barkeep_splat_red,10,1,1,0,0,1400,1400,0,360,true,true,-15,15,1,2,0,0,0,0,0,0,sc/effects.sc,barkeep_splat_1_red,,true,70,50,200,300,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,barkeep_splat_2_red,,,,,,,
barkeep_splat,10,1,1,0,0,1400,1400,0,360,true,true,-15,15,1,2,0,0,0,0,0,0,sc/effects.sc,barkeep_splat_1,,true,70,50,200,300,barkeep_splat_red
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,barkeep_splat_2,,,,,,,
barkeep_splat_ulti,1,1,1,0,0,3000,4000,0,360,true,true,-20,20,1,2,0,0,0,0,0,0,sc/effects.sc,splat_ulti,,,40,10,200,300,barkeep_splat_red
splats_flying_red,10,,,,,100,700,90,360,,true,-10,15,200,250,0,0,0,0,0,0,sc/effects.sc,splat_3_red,,true,100,10,200,200,
splats_flying,10,,,,,100,700,90,360,,true,-10,15,200,250,0,0,0,0,0,0,sc/effects.sc,splat_3,,true,100,10,200,200,splats_flying_red
big_explosion_streaks_emitter,4,200,300,,,400,600,80,100,,false,-1,1,0,0,,80,100,,0,0,sc/effects.sc,gen_explosion_s1,,,100,10,400,,
big_explosion_lines_emitter,2,100,200,1,2,200,300,0,0,,,0,0,1,1,0,0,0,0,,,sc/effects.sc,gen_explosion_lines1,false,false,50,200,33,,
big_Dust_emitter,4,50,100,3,5,1200,1200,-360,360,true,true,-4,4,5,12,10,1,2,10,,,sc/effects.sc,dust_particle1,false,,150,10,400,100,
big_Hot_dust_emitter,2,100,200,,,150,250,,360,,true,,,0,0,10,0,0,,0,0,sc/effects.sc,hot_dust_particle,,true,200,33,100,,
very_big_explosion_lines_emitter,4,200,300,,,400,600,80,100,,false,-1,1,0,0,,80,100,,0,0,sc/effects.sc,gen_explosion_s1,,,150,70,400,,
very_big_explosion_streaks_emitter,2,100,200,1,2,200,300,0,0,,,0,0,1,1,0,0,0,0,,,sc/effects.sc,gen_explosion_lines1,false,false,50,200,33,,
very_big_Dust_emitter,4,50,100,3,5,1200,1200,-360,360,true,true,-4,4,5,12,10,1,2,10,,,sc/effects.sc,dust_particle1,false,,200,10,400,100,
very_big_Hot_dust_emitter,2,100,200,,,150,250,,360,,true,,,0,0,10,0,0,,0,0,sc/effects.sc,hot_dust_particle,,true,300,33,100,,
bgr_test_emitter,15,8500,8500,70,120,3200,6400,0,360,,true,-1,1,1,3,10,100,200,-10,,,sc/effects.sc,dust_particle1,false,false,15,150,5500,,
bgr_test_trail_spark_emitter,15,8500,8500,50,50,500,750,0,360,true,,-1,1,1,3,,120,250,-20,,,sc/effects.sc,gen_hitfx_dot,true,,33,5,50,0,rocket_trail_spark_emitter_red
Green_hit,3,200,300,5,5,300,600,0,0,,true,0,1,15,120,0,50,500,-1200,,,sc/effects.sc,grass_straw_3,true,true,120,20,500,100,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,grass_straw_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,grass_straw_1,,,,,,,
Sharpie_emitter,1,2,2,1,5,1200,1200,0,360,true,true,0,0,1,1,5,5,15,10,,,sc/effects.sc,sharpie_fx,,true,45,45,50,500,
Sharpie_emitter_enemy,1,2,2,1,5,1200,1200,0,360,true,true,0,0,1,1,5,5,15,10,,,sc/effects.sc,sharpie_fx_red,,true,45,45,50,500,
MineRing_emitter_enemy,1,1,1,1,1,1300,1300,0,0,true,,0,0,0,0,0,0,0,0,,,sc/effects.sc,mine_range600_red,,,70,70,50,,
MineRing_emitter,1,1,1,1,1,1300,1300,0,0,true,,0,0,0,0,0,0,0,0,,,sc/effects.sc,mine_range600_blue,,,70,70,50,,
SpawnShield_emitter,1,1,1,1,1,4000,4000,180,180,true,,0,0,0,0,0,0,0,0,,,sc/effects.sc,spawnshield_fx,,true,100,100,50,,
gold_trail_emitter,15,100,200,100,150,600,800,0,360,true,true,1,3,30,40,20,30,40,-1500,,,sc/effects.sc,coin_asset,true,,50,50,200,0,
gold_no_hit_explosion,15,100,200,10,20,600,800,0,360,true,true,1,3,30,40,20,100,120,-1500,,,sc/effects.sc,coin_asset,true,,50,50,200,0,
gold_hit_explosion,15,100,200,10,20,600,800,0,360,true,true,1,3,40,60,20,120,160,-1500,,,sc/effects.sc,coin_asset,true,,50,50,200,0,
stunned_particle,5,800,800,200,250,500,700,,360,,true,5,7,0,0,100,,0,0,,,sc/effects.sc,sparkle_01,,,100,100,500,20,
crow_flame_trail_large_particle,30,30,10,20,20,700,900,0,360,true,true,0,0,10,20,,-3,3,35,500,500,sc/effects.sc,dynamike_spark,true,,120,20,800,0,
crow_flame_trail_small_particle,30,30,10,20,20,600,800,0,360,true,true,0,2,30,130,,-3,3,35,500,500,sc/effects.sc,dynamike_spark,true,,70,10,700,0,
flame_trail_particle,10,30,40,30,30,200,300,0,360,true,true,-1,1,10,70,,-3,3,35,500,500,sc/effects.sc,dynamike_spark,true,,100,20,100,0,
meteor_shards,10,30,40,0,0,500,2000,0,360,true,true,-2,2,50,200,33,600,1500,-7000,0,0,sc/effects.sc,meteor_shard_01,,true,120,30,150,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,meteor_shard_02,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,meteor_shard_03,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,meteor_shard_04,,,,,,,
power_up_bottle_sparkle_trail,10,1500,3000,100,300,1000,3000,-100,-60,true,true,5,8,10,30,-50,0,0,0,0,0,sc/effects.sc,sparkle_01,true,,50,10,500,0,
mushroom_particles,10,5000,5000,10,0,5000,5000,,360,,true,2,30,,,0,,0,0,,,sc/effects.sc,mushroom_growing_01,,,100,100,250,,
burning_particle_raid_boss,50,100,200,1,0,5500,6700,,360,,true,2,23,,,0,,0,0,,,sc/effects.sc,fire,,true,70,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
raidboss_skill_warning_short,1,2,2,1,5,750,750,0,360,true,true,0,0,1,1,5,5,15,10,,,sc/effects.sc,sharpie_fx_red,,true,60,60,50,500,
raidboss_skill_warning_medium,1,2,2,1,5,1000,1000,0,360,true,true,0,0,1,1,5,5,15,10,,,sc/effects.sc,sharpie_fx_red,,true,60,60,50,500,
raidboss_skill_warning_long,1,2,2,1,5,1250,1250,0,360,true,true,0,0,1,1,5,5,15,10,,,sc/effects.sc,sharpie_fx_red,,true,60,60,50,500,
burning_particle_wizard_ulti_blue,20,100,200,1,0,3800,3800,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire_blue_1,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_3,,,,,,,
burning_particle_wizard_ulti,20,100,200,1,0,3800,3800,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
burning_particle_wizard_blue,20,100,200,1,0,1900,1900,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire_blue_1,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_blue_3,,,,,,,
burning_particle_wizard,20,100,200,1,0,1900,1900,,360,,true,2,7,,,0,,0,0,,,sc/effects.sc,fire,,true,50,30,500,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,fire_3,,,,,,,
Rock_hit_debris1_town,1,0,0,10,500,100,1000,-45,45,,true,-2,2,20,70,28,150,300,-2000,0,0,sc/effects.sc,stone_1_town,true,true,75,40,100,10,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_2_town,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_3_town,,,,,,,
Rock_explo_debris2_town,5,,,,,200,1000,0,360,,true,-3,3,20,100,0,1000,3000,-6000,0,0,sc/effects.sc,stone_1_town,,true,300,100,200,20,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_2_town,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,sc/effects.sc,stone_3_town,,,,,,,
